u,v,time
Udyog Nagar (Green line),Maharaja Surajmal Stadium (Green line),1.5166666666666666
Maharaja Surajmal Stadium (Green line),Nangloi (Green line),1.7833333333333332
Nangloi (Green line),Nangloi Railway Station (Green line),1.7
Nangloi Railway Station (Green line),Rajdhani Park (Green line),2.0166666666666666
Rajdhani Park (Green line),Mundka (Green line),2.1166666666666667
Mundka (Green line),Mundka Industrial Area (MIA) (Green line),3.0
Mundka Industrial Area (MIA) (Green line),Ghevra Metro station (Green line),3.0
Ghevra Metro station (Green line),Tikri Kalan (Green line),2.5833333333333335
Tikri Kalan (Green line),Tikri Border (Green line),2.1666666666666665
Tikri Border (Green line),Pandit Shree Ram Sharma (Green line),2.1
Pandit Shree Ram Sharma (Green line),Bahdurgarh City (Green line),3.0
Bahdurgarh City (Green line),Brigadier Hoshiar Singh (Green line),3.0
Ashok Park Main (Green line branch),Satguru Ram Singh Marg (Green line branch),3.0833333333333335
Satguru Ram Singh Marg (Green line branch),Kirti Nagar (Green line branch),2.066666666666667
Janakpuri West (Magenta line),Dabri Mor - Janakpuri South (Magenta line),5.0
Dabri Mor - Janakpuri South (Magenta line),Dashrathpuri (Magenta line),5.0
Dashrathpuri (Magenta line),Palam (Magenta line),2.3833333333333333
Palam (Magenta line),Sadar Bazaar Cantonment (Magenta line),3.0
Sadar Bazaar Cantonment (Magenta line),Terminal 1-IGI Airport (Magenta line),3.0
Terminal 1-IGI Airport (Magenta line),Shankar Vihar (Magenta line),3.2333333333333334
Shankar Vihar (Magenta line),Vasant Vihar (Magenta line),2.783333333333333
Vasant Vihar (Magenta line),Munirka (Magenta line),2.716666666666667
Munirka (Magenta line),R.K.Puram (Magenta line),2.183333333333333
R.K.Puram (Magenta line),IIT (Magenta line),1.8666666666666667
IIT (Magenta line),Hauz Khas (Magenta line),2.05
Hauz Khas (Magenta line),Panchsheel Park (Magenta line),2.716666666666667
Hauz Khas (Magenta line),Hauz Khas (Yellow line),4.0
Panchsheel Park (Magenta line),Chirag Delhi (Magenta line),2.1166666666666667
Chirag Delhi (Magenta line),Greater Kailash (Magenta line),1.8
Greater Kailash (Magenta line),Nehru Enclave (Magenta line),2.3333333333333335
Nehru Enclave (Magenta line),Kalkaji Mandir (Magenta line),1.65
Kalkaji Mandir (Magenta line),Okhla NSIC (Magenta line),1.9666666666666668
Kalkaji Mandir (Magenta line),Kalkaji Mandir (Voilet line),4.0
Okhla NSIC (Magenta line),Sukhdev Vihar (Magenta line),2.1333333333333333
Sukhdev Vihar (Magenta line),JAMIA MILLIA ISLAMIA (Magenta line),2.4333333333333336
JAMIA MILLIA ISLAMIA (Magenta line),Okhla Vihar (Magenta line),2.35
Okhla Vihar (Magenta line),Jasola Vihar Shaheen Bagh (Magenta line),5.0
Jasola Vihar Shaheen Bagh (Magenta line),Kalindi Kunj (Magenta line),5.0
Kalindi Kunj (Magenta line),Okhla Bird Sanctuary (Magenta line),2.4
Okhla Bird Sanctuary (Magenta line),Botanical Garden (Magenta line),3.4333333333333336
Deepali Chowk (Magenta line branch),Madhuban Chowk (Magenta line branch),3.0
Madhuban Chowk (Magenta line branch),North Pitampura (Magenta line branch),3.0
Madhuban Chowk (Magenta line branch),Madhuban Chowk (Red line),4.0
North Pitampura (Magenta line branch),Haiderpur Badli Mor (Magenta line branch),3.0
Haiderpur Badli Mor (Magenta line branch),Bhalaswa (Magenta line branch),3.0
Haiderpur Badli Mor (Magenta line branch),Haiderpur Badli Mor (Yellow line),4.0
Bhalaswa (Magenta line branch),Majlis Park (Magenta line branch),3.0
Majlis Park (Magenta line branch),Majlis Park (Pink line),4.0
New Delhi (Orange line),Shivaji Stadium (Orange line),3.0
New Delhi (Orange line),New Delhi (Yellow line),4.0
Shivaji Stadium (Orange line),Dhaula Kuan (Orange line),4.983333333333333
Dhaula Kuan (Orange line),Delhi Aerocity (Orange line),5.016666666666667
Delhi Aerocity (Orange line),Airpot(T-3) (Orange line),3.0
Airpot(T-3) (Orange line),Dwarka Sector 21 (Orange line),3.0
Majlis Park (Pink line),Azadpur (Pink line),3.8333333333333335
Majlis Park (Pink line),Burari (Pink line),3.0
Azadpur (Pink line),Shalimar Bagh (Pink line),2.6833333333333336
Azadpur (Pink line),Azadpur (Yellow line),4.0
